編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位
41,花蓮縣客家廟宇現況點,花蓮縣政府,花蓮縣政府,,,,202,1844,於地圖上標示花蓮縣內客家廟宇之所在位置並提供簡要說明
42,花蓮縣道路管線挖掘資訊,花蓮縣政府,花蓮縣政府,,,,176,1010,顯示施工單位 施工日期 及施工地點等資訊
43,光復鄉公所104年11月份債務訊息,花蓮縣光復鄉公所,花蓮縣政府,光復鄉公所,,,,,有關花蓮縣光復鄉公所公共債務情形
44,花蓮縣壽豐鄉公所104年11月公共債務情形,花蓮縣壽豐鄉公所,花蓮縣政府,壽豐鄉公所,,,,,花蓮縣壽豐鄉公所104年11月公共債務情形
46,花蓮縣各鄉鎮市公所公共債務公開資訊,花蓮縣政府,花蓮縣政府,,,,60,800,1年以上債務未償餘額，未滿1年債務未償餘額，平均每人負擔債務，自償性債務未償餘額(含非營業特種基金)
56,105年花蓮哺集乳室名單,花蓮縣衛生局,花蓮縣政府,衛生局,,,25,229,地址電話開放時間
58,105年花蓮縣戒菸服務合約醫事機構名單,花蓮縣衛生局,花蓮縣政府,衛生局,,,26,200,序號醫事機構類別醫事機構名稱電話郵遞區號地址給藥衛教
59,105年度花蓮縣血壓站資訊,花蓮縣衛生局,花蓮縣政府,衛生局,,,35,200,編號縣市鄉鎮市設站據點地址開放量血壓時間
60,105年度花蓮縣糖尿病共同照護網之醫療院所名單,花蓮縣衛生局,花蓮縣政府,衛生局,,,26,303,序號醫事機構名稱特約類別地址聯絡電話備註
81,花蓮縣固定污染源空氣污染物監測數據-日報,花蓮縣環境保護局,花蓮縣政府,環境保護局,,,49,305,Cno:中文廠名 DP_NO:煙囪編號 ITEM:中文測項 M_year:YYYY M_month:MM M_day:DD M_time:HH M_Val:測值 Code2:中文狀態
82,花蓮縣固定污染源空氣污染物監測數據-即時,花蓮縣環境保護局,花蓮縣政府,環境保護局,,,31,295,Cno:中文廠名 DP_NO:煙囪編號 ITEM:中文測項 M_year:YYYY M_month:MM M_day:DD M_time:HHMM M_Val:測值 Code2:中文狀態
90,花蓮縣七星潭風景區告示牌及救生圈現況,花蓮縣消防局,花蓮縣政府,消防局,,,20,208,項次    地點    設置救生圈1新城分局前直行約1公里右轉入灘路口2&quot;新城鐵馬19K+400處，石座椅旁秀林國中旁&quot;3&quot;新城海堤，下灘樓梯左邊突出海堤新城鄉博愛路底，門牌號為中山路46-18號秀林國中旁&quot;4新城海堤向南第一處斜坡5新城海堤向南第二處斜坡6草林安檢所7花草集民宿前8東潤安檢所9193縣道，２K+100七星媽宮廟10沙東露營區欄杆破口處11沙東露營區12林語亭13德燕漁場停車場■14德燕漁場停車場兩潭自行車道100M■15航道下廁所■16航道下廁所樓梯■17七星潭下灘處■18七星潭下灘處■19七星潭下灘處■20七星潭下灘處■21七星潭下灘處■22七星潭下灘處■23賞星廣場大排護欄■24賞星廣場大排護欄■25臨潭橋左側■26臨潭橋右側■27七星安檢所■28七星潭旅客服務中心後方■29船型廁所後方■30望海樓停車場■31望海樓停車場-拍岸亭■(■代表有)
91,花蓮縣較常發生溺水案件水域一覽表,花蓮縣消防局,花蓮縣政府,消防局,,,38,207,編號地點鄰近分隊1立霧溪新秀分隊2三棧溪北埔分隊3七星潭美崙分隊4美崙溪花蓮分隊5花蓮溪出海口仁里分隊6國姓廟出海口仁里分隊7水源地自強分隊8木瓜溪壽豐分隊9豐濱海域豐濱分隊10磯崎海域豐濱分隊11芭崎海域豐濱分隊12鹽寮海域豐濱分隊13石梯坪豐濱分隊14萬里溪萬榮分隊15鯉魚潭壽豐分隊16崇德海域新秀分隊17慕谷慕魚壽豐分隊
100,補助團體私人報表,花蓮縣消防局,花蓮縣政府,消防局,,,206,144,工作計畫名稱、補助事項或用途及補助對象
101,補助團體私人報表,花蓮縣環境保護局,花蓮縣政府,環境保護局,,,206,144,工作計畫名稱、補助事項或用途及補助對象
114,花蓮縣花蓮地政事務所轄區地段圖,花蓮縣花蓮地政事務所,花蓮縣政府,花蓮地政事務所,,,3,12,
118,花蓮地政事務所106年8月份不動產買賣案統計表,花蓮縣花蓮地政事務所,花蓮縣政府,花蓮地政事務所,,,8,66,
120,流感疫苗接種合約醫療機構名單,花蓮縣衛生局,花蓮縣政府,衛生局,,,0,12,十碼章醫院名稱縣市別行政區郵遞區號地址連絡電話座標緯度座標經度備註、
122,87年6月~106年9月份不動產買賣案(含鄉市)統計表,花蓮縣花蓮地政事務所,花蓮縣政府,花蓮地政事務所,,,11,69,
125,101-105年地價稅稅源統計表,花蓮縣地方稅務局,花蓮縣政府,地方稅務局,,,6,47,花蓮縣最近5年地價稅稅源統計表、
126,花蓮縣最近5年房屋稅綜合統計表 ,花蓮縣地方稅務局,花蓮縣政府,地方稅務局,,,0,23,、表三
127,花蓮縣最近5年土地增值稅稅源統計表,花蓮縣地方稅務局,花蓮縣政府,地方稅務局,,,4,29,花蓮縣最近5年土地增值稅稅源統計表、
128,花蓮縣最近5年契稅綜合統計表,花蓮縣地方稅務局,花蓮縣政府,地方稅務局,,,0,10,
129,花蓮縣房屋標準單價表(102年7月起適用),花蓮縣地方稅務局,花蓮縣政府,地方稅務局,,,3,26,花蓮縣房屋標準單價表、
130,花蓮縣房屋標準單價表(105年7月起適用),花蓮縣地方稅務局,花蓮縣政府,地方稅務局,,,2,27,花蓮縣房屋標準單價表、
131,花蓮縣多元繳稅方式件數統計表,花蓮縣地方稅務局,花蓮縣政府,地方稅務局,,,2,27,花蓮縣多元繳稅方式件數統計表、、106.11製表
132,102年度使用牌照稅稅源統計表,花蓮縣地方稅務局,花蓮縣政府,地方稅務局,,,3,37,公  開  類、、編 報 機 關、花蓮縣地方稅務局(財產稅科)
133,103年度使用牌照稅稅源統計表,花蓮縣地方稅務局,花蓮縣政府,地方稅務局,,,1,30,公  開  類、、編 報 機 關、花蓮縣地方稅務局(財產稅科)
134,104年度使用牌照稅稅源統計表,花蓮縣地方稅務局,花蓮縣政府,地方稅務局,,,0,26,公  開  類、、編 製 機 關、花蓮縣地方稅務局
135,105年度使用牌照稅稅源統計表,花蓮縣地方稅務局,花蓮縣政府,地方稅務局,,,2,36,公  開  類、、編 製 機 關、花蓮縣地方稅務局
136,105年車輛使用別統計表,花蓮縣地方稅務局,花蓮縣政府,地方稅務局,,,5,40,105年車輛使用別統計表、
137,花蓮縣地方稅務局滯納及違章罰鍰移送執行情形月報表-稅別,花蓮縣地方稅務局,花蓮縣政府,地方稅務局,,,0,10,花蓮縣地方稅務局、
138,花蓮地政事務所不動產買賣案(含鄉市)統計表,花蓮縣花蓮地政事務所,花蓮縣政府,花蓮地政事務所,,,11,70,
139,花蓮縣地方稅務局檔案閱覽抄錄複製收費標準,花蓮縣地方稅務局,花蓮縣政府,地方稅務局,,,0,9,檔案外觀型式、複製方式、複製格式、收費標準_以新臺幣計價、備註
140,花蓮縣103年地價稅查定,花蓮縣地方稅務局,花蓮縣政府,地方稅務局,,,2,16,公　開　類、、編報機關
141,花蓮縣104年地價稅查定,花蓮縣地方稅務局,花蓮縣政府,地方稅務局,,,1,19,公　開　類、、編製機關、花蓮縣地方稅務局(財產稅科、資訊科)
142,花蓮縣105年地價稅查定,花蓮縣地方稅務局,花蓮縣政府,地方稅務局,,,1,42,
144,花蓮縣環境教育設施場所名單,花蓮縣環境保護局,花蓮縣政府,環境保護局,,,4,33,
145,花蓮縣環保旅店名單,花蓮縣環境保護局,花蓮縣政府,環境保護局,,,4,36,
146,花蓮縣航空噪音防制區,花蓮縣環境保護局,花蓮縣政府,環境保護局,,,2,20,
147,花蓮縣回收處理業名冊,花蓮縣環境保護局,花蓮縣政府,環境保護局,,,0,17,
149,花蓮縣地方稅務局人民申請案件處理時限表,花蓮縣地方稅務局,花蓮縣政府,地方稅務局,,,0,10,"機關名稱,申請類型,處理時限(天數)"
152,花蓮縣公立殯葬設施資訊,花蓮縣政府,花蓮縣政府,,,,3,19,"公所名稱,殯葬設施,聯絡電話,備註"
153,花蓮縣歷次停班停課訊息一覽表,花蓮縣政府,花蓮縣政府,,,,0,15,"日期,星期,地區,是否停止上班上課情形"
154,花蓮縣政府及所屬一、二級機關編制員額數,花蓮縣政府,花蓮縣政府,,,,21,31,"花蓮縣政府及所屬一、二級機關名稱,機關編制員額數"
155,花蓮縣政府員工特約商店,花蓮縣政府,花蓮縣政府,,,,8,27,"店家名稱,折數,電話,地址"
156,花蓮縣政府商業登記資訊系統商業設立登記清冊,花蓮縣政府,花蓮縣政府,,,,3,13,"統一編號,商業名稱,主營業項目"
157,花蓮縣消防局較常執行溺水事件救援地點清冊,花蓮縣政府,花蓮縣政府,,,,0,11,"編號,地點,鄰近分隊"
158,花蓮縣iTaiwan WI-FI無線上網地圖,花蓮縣政府,花蓮縣政府,,,,11,36,"主管機關,熱點名稱,地址,緯度,經度"
159,花蓮縣應回收廢棄物回收處理業者名冊,花蓮縣政府,花蓮縣政府,,,,3,15,"類別,類型,編號,商店名稱,統一編號,貯存地址,登記地址"
160,花蓮縣政府暨相關機關名錄,花蓮縣政府,花蓮縣政府,,,,0,11,"序,機關名稱,地址,電話,傳真,網址"
161,花蓮縣政府辦理「縣長親民時間」日期一覽表,花蓮縣政府,花蓮縣政府,,,,2,13,"場次,日期時間,鄉鎮市,地點"
162,花蓮縣政府雙語辭彙對照表,花蓮縣政府,花蓮縣政府,,,,2,13,"主題,詞彙,翻譯"
163,花蓮縣消防局各大隊、分隊地址及聯絡電話,花蓮縣政府,花蓮縣政府,,,,3,21,"消防局各大隊、分隊,室內電話,警用電話,傳真號碼,地址"
164,花蓮縣各鄉鎮市災害應變中心聯絡電話,花蓮縣政府,花蓮縣政府,,,,1,11,"單位,聯絡方式,傳真"
165,花蓮縣警察局單位執掌與聯繫表,花蓮縣政府,花蓮縣政府,,,,5,15,"單位,住址,電話"
166,花蓮縣政府對民間團體補(捐)助經費明細表,花蓮縣政府,花蓮縣政府,,,,2,14,"工作計畫科目名稱,補助事項或用途,補助對象,主辦機關,累計撥付金額(單位：千元)、,有無涉及財物或勞務採購,處理方式(如未涉及採購則毋須填列，如採公開招標，請填列得標廠商)、,是否為除外規定民間團體"
167,花蓮縣全縣各鄉鎮人口統計表,花蓮縣政府,花蓮縣政府,,,,14,33,"序號,年度,月份,鄉鎮別,戶數,人口數,男性人數,女性人數,平地原住民,山地原住民"
168,花蓮縣促進民間參與公共建設案件一覽表,花蓮縣政府,花蓮縣政府,,,,1,15,"序號,案件名稱,主辦機關,規劃方式,公共建設類別,公共建設-細類別,民間參與方式,委託顧問廠商"
169,花蓮縣酒製造業者資料,花蓮縣政府,花蓮縣政府,,,,0,13,"酒製造業資料,製造業者名稱,工廠地址,負責人,電話"
170,花蓮縣地方稅務局檔案閱覽抄錄複製收費標準,花蓮縣政府,花蓮縣政府,,,,0,9,"檔案外觀型式,複製方式,複製格式,收費標準_以新臺幣計價,備註"
171,花蓮縣地方稅務局人民申請案件處理時限表,花蓮縣政府,花蓮縣政府,,,,0,10,"機關名稱,申請類型,處理時限(天數)"
172,花蓮縣車輛使用別統計表,花蓮縣政府,花蓮縣政府,,,,1,12,"機器行駛車輛,細稅目,應稅數_件數,應稅數_稅額,免稅數件數,稅額,徵起數_件數,徵起數_金額"
173,花蓮縣地方稅務局滯納及違章罰鍰移送執行情形月報表-稅別,花蓮縣政府,花蓮縣政府,,,,0,10,"稅別,,1 上月止未結案,2 本 月 移 送,4 本月更正調整,6 本月徵起,7 本月取得憑證,8 本月撤案,9 本月退案,10 本月結案,11 本月清理合計,"
174,花蓮縣最近5年契稅綜合統計表,花蓮縣政府,花蓮縣政府,,,,0,10,"年度別,件數應稅,件數免稅,契價應稅,契價免稅,稅額應稅,稅額免稅"
175,花蓮縣最近5年房屋稅綜合統計表,花蓮縣政府,花蓮縣政府,,,,0,10,"項目/年度別,戶數合計,戶數應稅,戶數免稅,面積應稅,面積免稅,現值應稅,現值免稅,稅額合計,稅額本稅"
176,花蓮縣房屋標準單價表,花蓮縣政府,花蓮縣政府,,,,0,11,"構造,鋼骨造P/ 鋼骨混凝土造A/ 鋼骨鋼筋混凝土造S,鋼骨造P/ 鋼骨混凝土造A/ 鋼骨鋼筋混凝土造S,鋼骨造P/ 鋼骨混凝土造A/ 鋼骨鋼筋混凝土造S,鋼骨造P/ 鋼骨混凝土造A/ 鋼骨鋼筋混凝土造S,鋼筋混凝土造B/預鑄混凝土造T,鋼筋混凝土造B/預鑄混凝土造T,鋼筋混凝土造B/預鑄混凝土造T,鋼筋混凝土造B/預鑄混凝土造T,加強磚造C,加強磚造C,加強磚造C,加強磚造C,鋼鐵造（不分面積）U.J,,木、石、磚造F.E.D.H.G,土、竹造K.L"
177,花蓮縣哺集乳室名單,花蓮縣政府,花蓮縣政府,,,,0,11,"序號,公共場所名稱,地址,電話,開放時間"
178,花蓮縣戒菸服務合約醫事機構名單,花蓮縣政府,花蓮縣政府,,,,0,10,"序號,醫事機構類別,醫事機構名稱,電話,郵遞區號,地址,給藥,衛教"
179,花蓮縣血壓站資訊,花蓮縣政府,花蓮縣政府,,,,0,10,"編號,縣市,鄉鎮市,設站據點,地址,開放量血壓時間"
180,花蓮縣糖尿病共同照護網之醫療院所名單,花蓮縣政府,花蓮縣政府,,,,3,13,"序號,醫事機構名稱,特約類別,地址,聯絡電話,備註"
181,花蓮縣流感疫苗合約院所,花蓮縣政府,花蓮縣政府,,,,0,9,"十碼章,醫院名稱,縣市別,行政區,郵遞區號,地址,連絡電話,座標緯度,座標經度,備註"
182,花蓮縣卡介苗接種時間,花蓮縣政府,花蓮縣政府,,,,0,12,"衛生所/醫院,期間,時間,備註"
183,花蓮縣公費流感合約院所名單,花蓮縣政府,花蓮縣政府,,,,0,9,"編號,鄉鎮別,機構名稱,地址,聯絡電話,負責人,承辦人,合約狀態,單位醫事代碼"
184,花蓮縣通過食品衛生優良評鑑名單(GHP),花蓮縣政府,花蓮縣政府,,,,0,11,"序,業者名稱(市招/商登)、,地址,評核等級"
185,花蓮縣東大門國際觀光夜市通過食品衛生優良評鑑名單,花蓮縣政府,花蓮縣政府,,,,2,14,"序,業者名稱,攤位編號"
186,花蓮縣街頭藝人展演空間場地(含公共空間)相關規範彙整表,花蓮縣政府,花蓮縣政府,,,,4,22,"序號,單位,開放空間名稱,開放地區及範圍,聯絡窗口,聯絡電話,時段限制,音量限制,街頭藝人類型限制,街頭藝人人數限制,相關場地規範,其他注意事項"
187,花蓮縣公共圖書館一覽表,花蓮縣政府,花蓮縣政府,,,,3,14,"序號,單位,電話,地址,休館日,備註"
188,花蓮縣公共藝術設置一覽表,花蓮縣政府,花蓮縣政府,,,,1,13,"序,興辦機關,案名/作品名稱,徵選方式,件數,創作者,設置金額"
189,花蓮縣花蓮地政事務所轄區地段圖,花蓮縣政府,花蓮縣政府,,,,3,12,"鄉市名,段名,段代碼,行政,管轄,分帶系統,圖籍種類,施測年度"
190,花蓮縣花蓮地政事務所不動產買賣案統計表,花蓮縣政府,花蓮縣政府,,,,9,22,"年份,月份,件數,筆棟數"
191,花蓮縣花蓮地政事務所各鄉市買賣案統計表,花蓮縣政府,花蓮縣政府,,,,3,15,謝惠婷
192,花蓮縣富里鄉人口統計資料,花蓮縣政府,花蓮縣政府,,,,2,19,"年度,月份,總人口數,男性人口數,女姓人口數,山地原住民人口數,平地原住民人口數"
193,花蓮縣富里鄉戶籍登記(註記)案件及核發證明文件月統表,花蓮縣政府,花蓮縣政府,,,,0,12,"總案件數,遷徙登記,身分登記,更正,變更,原住民身分認定及登記,分合戶,國民身分證,門牌,門牌證明,戶籍謄本,戶口名簿,印鑑"
194,花蓮縣富里鄉戶政管理及便民服務案件統計表,花蓮縣政府,花蓮縣政府,,,,2,15,"年度,月份,戶政管理件數,便民服務件數"
195,花蓮縣環保旅店名單*,花蓮縣政府,花蓮縣政府,,,,13,39,"項次,旅館名稱,電話,地址"
196,花蓮縣航空噪音防制區*,花蓮縣政府,花蓮縣政府,,,,3,12,"本縣航空噪音防制區,噪音區間,區域範圍"
197,花蓮縣政府各年度公共債務數及每人負擔數,花蓮縣政府,花蓮縣政府,,,,4,19,"各年度公共債務數及每人負擔數,1年以上非自償債務(億元)、,未滿1年債務(億元)、,債務合計(億元)、,平均每人債務負擔(萬元)、,自償性債務億元"
198,花蓮縣歷年人口統計表(最新),花蓮縣政府,花蓮縣政府,,,,31,54,"序號,年度,總戶數,總人口數,男性人數,女性人數,平地原住民,山地原住民"
199,花蓮縣各觀光遊憩區遊客人數統計(最新),花蓮縣政府,花蓮縣政府,,,,32,64,"月份,鯉魚潭,七星潭,太魯閣,秀姑巒溪遊客中心,海洋公園,石雕博物館,慶修院,松園別館,林田山,南安遊客中心,東大門夜市,親不知子天空古道,合計"
200,花蓮縣災害救助收容場所(最新),花蓮縣政府,花蓮縣政府,,,,6,19,"災民收容所編號,災民收容所名稱,所在鄉鎮市,聯絡人姓名,聯絡人電話,手機號碼,收容所管理單位,管理人姓名,管理人電話,管理人手機,郵遞區號,收容所縣市,收容所鄉鎮,收容所村里,收容所地址,服務里別,室內人數,室外人數,總共人數,適用災害別(水災)、,適用災害別(震災)、,適用災害別(土石流)、,適用災害別(海嘯)、,適用災害別(核子事故)、,適合避難弱者安置,處所特性別(室內)、,處所特性別(室外)"
201,花蓮縣居家護理機構清冊(最新),花蓮縣政府,花蓮縣政府,,,,1,14,"序號,型態別,機構名稱,地址,權屬別,電話"
202,花蓮縣心理健康小站一覽表(最新),花蓮縣政府,花蓮縣政府,,,,0,10,"名稱,地址"
203,花蓮縣多元繳稅方式件數統計表(最新),花蓮縣政府,花蓮縣政府,,,,6,12,"繳稅方式年度,金融機構繳稅,便利超商繳稅,自動櫃員機轉帳繳稅,長期約定轉帳繳稅,信用卡繳稅,電話語音轉帳繳稅,晶片金融卡網際網路轉帳繳稅,合計"
