編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位,最後更新時間
103,105年高雄市公有土地面積統計,地政局,高雄市政府,地政局,,1,9,49,"區名/項目,公有土地總面積,國有土地總面積,省有土地總面積,高雄市有土地總面積,高雄市共有土地總面積,其他總面積",
104,105年高雄市土地及建物登記管理,地政局,高雄市政府,地政局,,12,76,42,高雄市土地及建物登記管理,
105,高雄市測量案件統計,地政局,高雄市政府,地政局,,22,82,84,高雄市測量案件統計,
106,105年高雄市不動產買賣統計,地政局,高雄市政府,地政局,,12,64,75,"區名,件數,土地筆數,土地面積(平方公尺),建物棟(戶)數,建物面積(平方公尺),",
107,105年高雄市公有土地筆數統計,地政局,高雄市政府,地政局,,1,7,42,"區名/項目,公有土地總筆數,國有土地總筆數,省有土地總筆數,高雄市有土地總筆數,高雄市共有土地總面積,其他總筆數,",
108,高雄市105年地價稅累進起點地價及課稅級距表,財政局,高雄市政府,財政局,,1,22,114,提供高雄市105年地價稅累進起點地價及課稅級距表,
109,105年度仁大工業區敦親睦鄰回饋金明細表,大社區公所,高雄市政府,大社區公所,,1,6,19,細項、金額、合計,
110,105年度高雄市大社區仁武垃圾焚化廠營運回饋金支出明細表,大社區公所,高雄市政府,大社區公所,,1,5,21,申請案號、案件名稱、累計執行金額、備註,
111,105年殯葬管理處空氣污染物連續自動監測設施(CEMS),民政局,高雄市政府,民政局,,2,20,54,"工廠管制編號,煙囪,監測項目,時間,測值,狀態碼,",
112,高雄市老屋活化整修及經營補助計畫,都市發展局,高雄市政府,都市發展局,,1,131,318,高雄市老屋活化及經營補助計畫,
113,105年高雄市不動產拍賣統計,地政局,高雄市政府,地政局,,12,55,33,"區名,件數,土地筆數,土地面積(平方公尺),建物棟(戶)數,建物面積(平方公尺),",
114,105年高雄1999派工資料,研究發展考核委員會,高雄市政府,研究發展考核委員會,,12,21,24,"FileNo：案號,Cre_Date：反映日期,Save_Date：通報日期,ReplyUnit：權責單位代碼,UnitName：權責單位,Zipcode：行政區域代碼(郵政區號),ZipName：行政區域,Address：維修地點,Informdesc：通報事項,Beforedesc：反映內容,Status：管制狀況代碼,StatusName：管制狀況,Close_Date：結案日期,Afterdesc：處理結果,Memo：備註,Lat：緯度,Lng：經度",
115,105年度機關資料開放程度評鑑,研究發展考核委員會,高雄市政府,研究發展考核委員會,,2,17,32,105年度機關資料開放程度評鑑表與圖,
116,105年列管計畫進度,研究發展考核委員會,高雄市政府,研究發展考核委員會,,12,34,55,105年10月列管計畫進度,
117,105年高雄市外國人地權登記管理,地政局,高雄市政府,地政局,,12,95,42,說明所有權取得、移轉及他項權利登記,
118,高雄市105年度取締併排停車前十大路口,警察局,高雄市政府,警察局,,1,3,28,排名，違規地點,
119,高雄市105年度取締市區超速前十大路口,警察局,高雄市政府,警察局,,1,7,49,排名，違規地點,
120,105年高雄市颱風豪雨期間開放車輛臨時停放處所一覽表,交通局,高雄市政府,交通局,,3,142,176,"行政區,編號,臨時停車處所,可提供小型車停車位,地址,執行單位,下班後值勤電話,本府負責督導機關",
121,高雄市非都市土地使用分區與編定筆數及面積,地政局,高雄市政府,地政局,,1,12,24,使用分區、用地類別,
122,106年高雄市完成設立備查之不動產經紀業,地政局,高雄市政府,地政局,,12,51,103,截至106年1月底，於高雄市完成設立備查之不動產經紀業,
123,106年1至6月導覽機託播統計,秘書處,高雄市政府,秘書處,,1,6,34,託播單位、數量、媒體形式、資訊分類,
124,106年高雄市土地公告現值,地政局,高雄市政府,地政局,,1,38,126,縣市、行政區、地段、地號、公告土地現值,
125,地價稅減免課稅面積,財政局,高雄市政府,財政局,,2,4,17,地價稅減免課稅面積,
126,104年火災搶救日報表_以行政區作統計,消防局,高雄市政府,消防局,,1,0,14,區域、受理件數、一一九電話、一一O電話、自動電話、民眾親自報案、執勤發現、其他、一般民眾死、一般民眾受傷、消防人員死、消防人員受傷、義消人員死、義消人員受傷、房屋燒毀間數、救出人數、出動消防人員、出動義消人次、出動車輛數量、財損至未滿一百萬件次、財損至一百萬以上未滿伍佰萬元件次、財損至伍佰萬元以上件次、總計金額至千元,
127,104年緊急救護日報表_以行政區作統計,消防局,高雄市政府,消防局,,1,0,14,區域、受理件數、救護載送人數,
128,105年緊急救護日報表_以行政區作統計,消防局,高雄市政府,消防局,,1,0,12,區域、受理件數、車輛派遣數、空跑件數、救護載送人數,
129,105年火災搶救日報表_以行政區作統計,消防局,高雄市政府,消防局,,1,1,17,區域、受理次數、有財務損失、無財務損失、誤謊報、一般民眾死亡、一般民眾受傷、消防人員死亡、消防人員受傷、義消人員死亡、義消人員受傷、房屋燒毀間數、救出人數、出動消防人員、出動義消人次、出動車輛數量、財物損失初估金額千元,
130,104年其他案件統計表_以分隊作統計,消防局,高雄市政府,消防局,,1,0,11,單位、除蜂、捕蛇、送水、受困、其他、動物救援,
131,104年其他案件統計表_以行政區作統計,消防局,高雄市政府,消防局,,1,0,10,單位、除蜂、捕蛇、送水、受困、其他、動物救援,
132,105年其他案件統計表_以分隊作統計,消防局,高雄市政府,消防局,,1,2,16,單位、除蜂、捕蛇、送水、受困、其他、動物救援,
133,105年其他案件統計表_以行政區作統計,消防局,高雄市政府,消防局,,1,0,22,單位、除蜂、捕蛇、送水、受困、其他、動物救援,
134,106年消防局火災出動人員、車輛、船艇、直升機,消防局,高雄市政府,消防局,,1,1,20,"行政區,受理火災件數,消防人員,義消人員,其他1,救出人數,直線消防車,屈折消防車,化學消防車,水箱消防車,水庫消防車,泡沫消防車,幫浦消防車,超高壓消防車,救助器材車,排煙車,照明車,空氣壓縮車,救災指揮車,水陸兩用車,災情勘查車,化災處理車,火災現場勘驗車,消防警備車,消防救災越野車,消防救災機車,緊急修護車,救護車一般型,救護車加護型,救生艇,直升機,其他2",
135,105年報案情形統計表,消防局,高雄市政府,消防局,,1,1,19,日期與報案方式、一一九、一一O轉報、親自報案、執勤發現、自動電話、其他,
136,104年報案情形統計表,消防局,高雄市政府,消防局,,1,1,8,日期與報案方式、一一九、一一O轉報、親自報案、執勤發現、自動電話、其他,
137,103年報案情形統計表,消防局,高雄市政府,消防局,,1,3,9,日期與報案方式、一一九、一一O轉報、親自報案、執勤發現、自動電話、其他,
138,102年報案情形統計表,消防局,高雄市政府,消防局,,1,1,9,日期與報案方式、一一九、一一O轉報、親自報案、執勤發現、自動電話、其他,
139,101年報案情形統計表,消防局,高雄市政府,消防局,,1,1,9,日期與報案方式、一一九、一一O轉報、親自報案、執勤發現、自動電話、其他,
140,103年火災搶救日報表_以行政區作統計,消防局,高雄市政府,消防局,,1,1,9,區域、受理次數、有財務損失、無財務損失、誤謊報、一般民眾死亡、一般民眾受傷、消防人員死亡、消防人員受傷、義消人員死亡、義消人員受傷、房屋燒毀間數、救出人數、出動消防人員、出動義消人次、出動車輛數量、財物損失初估金額千元,
141,103年緊急救護日報表_以行政區作統計,消防局,高雄市政府,消防局,,1,3,11,區域、受理件數、救護載送人數,
142,102年火災搶救日報表_以行政區作統計,消防局,高雄市政府,消防局,,1,0,9,區域、受理件數、一一九電話、一一O電話、自動電話、民眾親自報案、執勤發現、其他、一般民眾死、一般民眾受傷、消防人員死、消防人員受傷、義消人員死、義消人員受傷、房屋燒毀間數、救出人數、出動消防人員、出動義消人次、出動車輛數量、財損至未滿一百萬件次、財損至一百萬以上未滿伍佰萬元件次、財損至伍佰萬元以上件次、總計金額千元,
143,102年緊急救護日報表_以行政區作統計,消防局,高雄市政府,消防局,,1,1,13,區域、受理件數、救護載送人數,
144,101年火災搶救日報表_以行政區作統計,消防局,高雄市政府,消防局,,1,1,9,區域、受理次數、有財務損失、無財務損失、誤謊報、一般民眾死亡、一般民眾受傷、消防人員死亡、消防員受傷、義消人員死亡、義消人員受傷、房屋燒毀間數、救出人數、出動消防人員、出動義消人次、出動車輛數量、財物損失初估金額千元,
145,101年緊急救護日報表_以行政區作統計,消防局,高雄市政府,消防局,,1,1,10,區域、受理件數、救護載送人數,
146,100年火災搶救日報表_以行政區作統計,消防局,高雄市政府,消防局,,1,1,12,區域、受理次數、有財務損失、無財務損失、誤謊報、一般民眾死亡、一般民眾受傷、消防人員死亡、消防人員受傷、義消人員死亡、義消人員受傷、房屋燒毀間數、救出人數、出動消防人員、出動義消人次、出動車輛數量、財物損失初估金額千元,
147,100年緊急救護日報表_以行政區作統計,消防局,高雄市政府,消防局,,1,2,13,區域、受理件數、救護載送人數,
148,105年火災搶救日報表_以分隊作統計,消防局,高雄市政府,消防局,,1,4,15,單位、受理件數、有財務損失、無財務損失、誤謊報、一般民眾死亡、一般民眾受傷、消防人員死、消防人員受傷、義消人員死、義消人員受傷、房屋燒毀間數、救出人數、出動消防人員、出動義消人次、出動車輛數量、財物損失初估金額千元,
149,105年緊急救護日報表_以分隊作統計,消防局,高雄市政府,消防局,,1,9,19,單位、受理件數、車輛派遣數、空跑件數、救護載送人數,
150,104年火災搶救日報表_以分隊作統計,消防局,高雄市政府,消防局,,1,0,9,單位、受理件數、一一九電話、一一O電話、自動電話、民眾親自報案、執勤發現、其他、一般民眾死、一般民眾受傷、消防人員死、消防人員受傷、義消人員死、義消人員受傷、房屋燒毀間數、救出人數、出動消防人員、出動義消人次、出動車輛數量、財損至未滿一百萬件次、財損至一百萬以上未滿伍佰萬元件次、財損至伍佰萬元以上件次、總計金額千元,
151,104年緊急救護日報表_以分隊作統計,消防局,高雄市政府,消防局,,1,0,11,單位、受理件數救護載送人數,
152,103年火災搶救日報表_以分隊作統計,消防局,高雄市政府,消防局,,1,0,8,單位、受理件數、一一九電話、一一O電話、自動電話、民眾親自報案、執勤發現、其他、一般民眾死、一般民眾受傷、消防人員死、消防人員受傷、義消人員死、義消人員受傷、房屋燒毀間數、救出人數、出動消防人員、出動義消人次、出動車輛數量、財損至未滿一百萬件次、財損至一百萬以上未滿伍佰萬元件次、財損至伍佰萬元以上件次、總計金額千元,
153,103年緊急救護日報表_以分隊作統計,消防局,高雄市政府,消防局,,1,4,13,單位、受理件數救護載送人數,
