編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位,最後更新時間
23,102年桃園市各項稅捐實徵淨額與預算數及上年同期比較-累計數,地方稅務局,桃園市政府,地方稅務局,,,177,,稅目別、截至本月底止累計實徵數_合計、截至本月底止累計實徵數_本年度、截至本月底止累計實徵數_以前年度、截至本月底止累計退還以前年度歲入款、截至本月底止累計實徵淨額、累計實徵淨額與全年預算數比較、百分比1、累計實徵淨額與同期分配預算數比較、百分比2、累計實徵淨額與上年同期比較、增減百分比,
24,桃園市客家文化館收費標準表(演藝廳及視聽簡報室),客家事務局,桃園市政府,客家事務局,,,27,,"場地別,時段,時間,場地使用費_平日_每時段,場地使用費_假日_每時段,空調燈光清潔費,設備費_鋼琴_每時段,設備費_音響反射板_每時段,設備費_單槍投影設備_每時段,外加接電費_每時段,保證金",
25,桃園市都市計畫私有公共設施保留地與公有非公用土地交換辦法統計,都市發展局,桃園市政府,都市發展局,,,218,,年度、公告之公有非公用土地交換標的件數(件)、公告之公有非公用土地交換標的面積(㎡)、公告之公有非公用土地交換標的總價(千元)、完成交換之公有非公用土地標的件數(件)、完成交換之公有非公用土地標的面積(㎡)、完成交換之公有非公用土地標的總價(千元)、取得之私有公共設施保留地總面積(㎡) 、取得之私有公共設施保留地總價(千元) ,
26,桃園市A1及A2類道路交通事故件數－按肇事車種別,警察局,桃園市政府,警察局,,,211,,year(年度)、breau(轄區)、car_type(肇事車種)、count(件數),
27,桃園市105年旅遊服務中心旅客諮詢人次及臨櫃人次,觀光旅遊局,桃園市政府,觀光旅遊局,,,46,,旅服中心(名稱)、諮詢人次(人次)、臨櫃人次(人次),
28,中壢三七五租約資料,地政局,桃園市政府,地政局,,,104,,"行政區,段名,地號",
29,桃園市政府機關通訊錄API,研究發展考核委員會,桃園市政府,研究發展考核委員會,,,1196,,"""lat"":緯度""englishtitle"":英文名稱""chinesetitle"":中文名稱 ""address"": 地址""fax"": 傳真""email"": 電子郵件""lng"": 經度""tel"": 電話""website"": 網址",
30,桃園市房屋標準單價表(31樓以上)-104.7.1以後建造完成,地方稅務局,桃園市政府,地方稅務局,,,244,,總層數、鋼骨造_鋼骨混凝土造_鋼骨鋼筋混凝土造_第一類、鋼骨造_鋼骨混凝土造_鋼骨鋼筋混凝土造_第二類、鋼骨造_鋼骨混凝土造_鋼骨鋼筋混凝土造_第三類、鋼骨造_鋼骨混凝土造_鋼骨鋼筋混凝土造_第四類、鋼筋混凝土造_預鑄混凝土造_第一類、鋼筋混凝土造_預鑄混凝土造_第二類、鋼筋混凝土造_預鑄混凝土造_第三類、鋼筋混凝土造_預鑄混凝土造_第四類,
31,桃園市13區衛生所(含診療科別),衛生局,桃園市政府,衛生局,,,38,,桃園市13區衛生所，地址，電話，診療科別,
32,桃園市政府建築管理處職員學歷統計報表,都市發展局,桃園市政府,都市發展局,,,133,,合計 小計 研究院(所)  大學 專科	高中(職)(含師範)	國(初)中以下及其他	備　註,
33,桃園市104年A1道路交通事故-第一當事者車輛用途,警察局,桃園市政府,警察局,,,95,,breau(分局轄區)、car_type(車輛用途)、year(年度)、count(發生件數)、dead(死亡人數)、hurt(受傷人數),
34,桃園市104年A2道路交通事故-道路型態統計,警察局,桃園市政府,警察局,,,89,,breau(分局轄區)、road_type(道路型態)、year(年度)、count(發生件數),
35,桃園市政府都市發展局104年度採購招標案件一覽表,都市發展局,桃園市政府,都市發展局,,,168,,項次	分類	標案案號	採購案名	招標方式	公告日期	截止投標	預算金額,
36,桃園市105年A2道路交通事故-駕駛人年齡分布統計,警察局,桃園市政府,警察局,,,106,,age(年齡區間)、year(年度)、p_count(人數),
37,灌溉埤塘座標資料,研究發展考核委員會,桃園市政府,研究發展考核委員會,,,15,,編號，所轄工作站，構造物名稱，所在鄉鎮，座標,
38,105年度龜山區新舊建號對照資料,地政局,桃園市政府,地政局,,,240,,"舊地號行政區,新地號行政區,舊地段名稱,新地段名稱,舊地號,新地號",
39,105年度中壢區新舊建號對照資料,地政局,桃園市政府,地政局,,,225,,"舊地號行政區,新地號行政區,舊地段名稱,新地段名稱,舊地號,新地號",
40,桃園捷運營運路線車站基本資料,桃園捷運公司,桃園市政府,桃園捷運公司,,,219,,StationOfRouteList(營運路線車站基本資料)、UpdateTime(更新日期時間)、StationOfRoutes(營運路線車站資訊)、StationOfRoute(營運路線車站資料)、LineNo(營運路線所屬之路線編號)、LineID(營運路線所屬之路線代碼)、RouteID(營運路線代碼)、RouteName(營運路線名稱)、Direction(營運路線方向描述)、Stations(營運路線車站資訊)、Station(營運路線車站資料)、Sequence(站序)、StationID(車站代碼)、StationName(車站名稱)、CumulativeDistance(已累積之公里里程距離),
41,桃園市政府辦理土地及建物代為標售價金保管款清冊,地政局,桃園市政府,地政局,,,279,,"鄉鎮市區,段,小段,地/建號,面積,權利範圍分子,權利範圍分母,土地/建物所有權人姓名,土地/建物所有權人住址,保管款金額(元),保管字號,備註",
42,桃園航空城計畫機場園區第4場預備聽證會議實錄,地政局,桃園市政府,地政局,,,588,,桃園航空城計畫機場園區第4場預備聽證會議實錄,
43,桃園航空城計畫機場園區第5場預備聽證會議實錄,地政局,桃園市政府,地政局,,,1201,,桃園航空城計畫機場園區第5場預備聽證會議實錄,
44,航空城都市計畫土地使用計畫面積表,都市發展局,桃園市政府,都市發展局,,,217,,項目	第一種住宅區	第一之一種住宅區	第二種住宅區	第三種住宅區	第四種住宅區	第五種住宅區	第五種住宅區 _供安置住宅使用	第五種住宅區_合宜住宅使用	第一種商業區	第二種商業區	第三種商業區	第四種商業區	乙種工業區	零星工業區	機場專用區	機場專用區_兼供道路使用	機場專用區_兼供廣場使用	第一種自由貿易港專用區	第二種自由貿易港專用區	第一種產業專用區	第二種產業專用區	第二之一種產業專用區	第三種產業專用區	第四種產業專用區	車站專用區	宗教專用區	電信專用區	瓦斯事業專用區	加油站專用區	埤塘專用區	灌溉設施專用區	農業專用區	河川區	河川區_兼供機場專用區使用	河川區_兼供捷運系統使用	河川區_兼供高速公路使用	河川區_兼供園林道路使用	河川區_兼供道路使用	公園用地	綠地用地	廣場用地	停車場用地	文小用地 	文中小用地	文高用地	機關用地	污水處理廠用地	變電所用地	電路鐵塔用地	捷運系統用地	捷運系統用地_兼供園林道路使用	捷運系統用地_兼供道路使用	高速公路用地	高速公路用地_兼供捷運系統使用	高速公路用地_兼供園林道路使用	高速公路用地_兼供道路使用	園林道路用地 	道路用地,
45,桃園市高榮野生動物保護區,農業局,桃園市政府,農業局,,,39,,位置、公告面積,
46,桃園市政府警察局路口監視器,警察局,桃園市政府,警察局,,,1924,,camera_type(建置種類，分租賃及自建)、breau(轄區分局)、address(地址),
47,桃園市會議室、簡報室及宿舍收費標準表,體育局,桃園市政府,體育局,,,279,,場地、收費項目、收費內容,
48,桃園市都市計畫面積及人口,都市發展局,桃園市政府,都市發展局,,,337,,公園	綠地	廣場	兒童遊樂場	體育場	道路及人行步道	停車場	加油站	市場	學校	社教機構	醫療衛生	機關	墓地	變電所及電力事業用地	郵件及電信用地	民用航空站及機場	溝渠河道	港埠	捷運系統交通車站鐵路	環保設施	其他	總計,
49,桃園市105年A1道路交通事故-受傷年齡與行動狀態統計,警察局,桃園市政府,警察局,,,99,,age(年齡區間)、status_class(車輛或行人)、status_type(行動狀態)、year(年度)、count(發生件數),
50,桃園市防火管理人專業機構通訊錄,消防局,桃園市政府,消防局,,,89,,名稱、郵遞區號、地址、電話、傳真、電子信箱、網址、承辦人,
51,2017第一屆桃園盃全國社區慢速壘球錦標賽,體育局,桃園市政府,體育局,,,32,,活動內容、地點、比賽時間、賽事獎勵,
52,桃園市政府地方稅務局101年稅務秘書執行成果表,地方稅務局,桃園市政府,地方稅務局,,,219,,科室、親臨里長辦公室、下鄉服務、電話服務次數、網路服務次數、宣導諮詢服務人數、受理案件數,
53,桃園市政府地方稅務局103年度歲入決算表,地方稅務局,桃園市政府,地方稅務局,,,221,,名稱、決算數,
54,100年桃園市土地公告現值-楊梅,地政局,桃園市政府,地政局,,,5,,行政區(行政區名稱)，段小段(地段名稱)，地號，公告現值(元/平方公尺),
55,青年安薪讚 就業大滿貫-桃園青年自主學習方案,勞動局,桃園市政府,勞動局,,,85,,"一、目標：為鼓勵青年自主學習，累積個人人力資本，強化自身技能並提升就業能力，提供本市青年參加推廣教育學分班之學分費補助，以協助其提升職能並順利就業，特訂定本方案。二、辦理單位：(一) 指導單位：桃園市政府勞動局。(二) 主辦單位：桃園市政府就業服務處（以下簡稱本處）。三、補助對象及資格：設籍桃園市且未滿30歲之青年（年齡計算以申請日為基準），且完成推廣教育學分班課程(以下簡稱本方案青年)。四、補助範圍：本方案所稱推廣教育學分班，指由國內依法立案之大學(含獨立學院)及專科學校，依教育部「專科以上學校推廣教育實施辦法」所辦理之推廣教育學分班。五、補助標準：每人每年最高補助3學分，每學分以5,000元為上限，所修學分費未達5,000元者，依實際學分費覈實補助。六、申請方式：(一)本方案青年於修畢推廣教育學分班課程並取得學分證明後，應於取得學分證明之翌日起90日內，以掛號郵寄、親自或委託他人送達等方式，檢附下列文件向本處職訓推動課申請補助：?收件人：桃園市政府就業服務處　職訓推動課?地   址：33001桃園市桃園區縣府路59號1.補助申請書（附件一）。2.國民身分證正反面影本。3.領據及本人之國內金融機構存摺封面影本（附件二）。4.繳費收據正本。(以正本為原則，倘若正本遺失或其他特殊狀況，可以  影本替代)5.學分證明或其他相關證明影本（學分證明無載明課程起訖期日者，應另檢附課程簡章或其他載明課程起迄日期之相關證明文件）。6.求職登記表。（在職青年免附）7.切結書（附件三）。 (二)本方案青年未檢齊前項規定之文件，經本處通知限期補正者，應於7日內補正；逾期未補正，視為未提出申請。 (三)本方案送件截止日期為106年12月15日止，逾期送件則不受理。當年度經費用罄即停止申請。另106年12月16日以後之案件，視107年計畫核定情形於107年公告後再行受理。七、本處為協助本方案青年就業，得提供推介就業、職涯導引、安排就業促進研習活動或提供選擇職業或協助工作適應之專業服務。八、本處為查核本方案實際執行情形，得以電話抽查，青年不得規避、妨礙或拒絕。九、申領本方案補助之青年有下列情形之一，本處應不予發給補助；已發給者，經撤銷或廢止後，追還已領取之補助：(一)不實申領。(二)未取得學分證明。(三)提供個人身分資料供他人修讀課程或代他人修讀課程。(四)領取學分費補助，已超出其實際負擔費用。(五)規避、妨礙或拒絕本處查核。(六)具軍公教身分資格者。(七)於同一時期已領取政府機關其他相同屬性之就業促進相關補（獎）助或津貼。(八)已申領「桃園市政府辦理106年勞工學苑實施計畫」之補助在職勞工學分費者。(九)其他違反本方案相關之規定。領取前項補助者，經本處書面通知限期繳回，屆期未繳回，依法移送強制執行。十、本方案奉核定後實施，修正時亦同。",
56,桃園市104年A1道路交通事故-未滿14歲兒童統計,警察局,桃園市政府,警察局,,,86,,status_class(行動類別)、status_type(行動型態)、year(年度)、count(發生件數)、dead(死亡人數)、hurt(受傷人數),
57,商業異動_本月各行業別增減資家數,經濟發展局,桃園市政府,經濟發展局,,,0,,行業別、增資家數、減資家數,
58,104年度桃園市都市設計審議委員第2審議會全年審議結果數,都市發展局,桃園市政府,都市發展局,,,227,,開會次數、通過件數、未通過件數,
59,旅行時間偵測站 站間平均旅行時間,交通局,桃園市政府,交通局,,,306,,UpdateTime(資料更新時間)、DeviceFrom(上游偵測站編號)、DeviceTo(下游偵測編號)、VehicleType(車種)、TravelTime(平均旅行時間)、Volume(流量),
60,桃園市104年A2道路交通事故-車種別統計,警察局,桃園市政府,警察局,,,93,,breau(分局轄區)、car_type(車種別)、year(年度)、count(發生件數),
61,桃園市財團法人教會堂及基金會名冊,民政局,桃園市政府,民政局,,,45,,編號、財團法人名稱、住址、電話、負責人、設立許可日期,
62,桃園市總預算歲出機關別預算比較總表,主計處,桃園市政府,主計處,,,52,,款、科目名稱、本年度預算數_千元、上年度預算數_千元、前年度決算數_千元、本年度與上年度比較_千元,
63,2016台灣燈會臨時公有停車場座標,研究發展考核委員會,桃園市政府,研究發展考核委員會,,,5,,停車場名稱、經度、緯度,
64,桃園市政府消防局年度消防大事記,消防局,桃園市政府,消防局,,,28,,日期、大事記,
65,桃園市內觀光夜市,經濟發展局,桃園市政府,經濟發展局,,,207,,鄉鎮市區、夜市名稱、經營主體、設立屬性、營業週期、營業地點、管理員聯絡電話、自理組織名稱、攤鋪位合計數、夜市介紹、特色說明,
66,桃園市政府地方稅務局106年度歲入預算表,地方稅務局,桃園市政府,地方稅務局,,,78,,"名稱,106年度預算數(單位：千元)",
67,區公所回饋金相關計畫-海湖發電廠,經濟發展局,桃園市政府,經濟發展局,,,4,,公司名稱、年度、經費來源、額度_元、分配單位、執行單位、用途、執行結果,
68,桃園市第1屆里長通訊錄,民政局,桃園市政府,民政局,,,804,,區別、里別、職稱、姓名、辦公電話、辦公傳真、行動電話、里辦公處地址,
69,桃園市瓦斯行,經濟發展局,桃園市政府,經濟發展局,,,238,,"編號,名稱,區域,地址,負責人,電話",
70,桃園市居家護理所,衛生局,桃園市政府,衛生局,,,88,,機構名稱、類型、郵遞區號、地址、負責人、聯絡人、電子郵件地址、傳真電話、聯絡電話,
71,桃園市人民申請案件時效統計表,研究發展考核委員會,桃園市政府,研究發展考核委員會,,,11,,"本月份新收件數,截至上月待辦件數,依限辦結件數,逾限辦結件數,待辦案件,平均限辦日數,平均辦理天數,平均逾期天數",
72,桃園市私立兒童課後照顧服務中心,教育局,桃園市政府,教育局,,,278,,中心資訊(合法立案兒童課後照顧服務中心),
73,污水下水道人孔位置,水務局,桃園市政府,水務局,,,195,,污水下水道人孔位置,
74,桃園市各區社區活動中心名冊-龜山區,社會局,桃園市政府,社會局,,,5,,社區活動中心名稱、地址、公所承辦單位、電話,
75,101年桃園市土地公告現值-龜山,地政局,桃園市政府,地政局,,,4,,行政區(行政區名稱)，段小段(地段名稱)，地號，公告現值(元/平方公尺),
76,桃園市身心障礙者社區資源及生活重建中心,社會局,桃園市政府,社會局,,,228,,分區中心名稱、負責區域、地址、聯絡電話、委託單位、服務內容、服務對象,
77,桃園市乳房X光攝影醫院,衛生局,桃園市政府,衛生局,,,111,,編號、轄區、乳房X光攝影醫院、地址、電話,
78,桃園市轄內醫院(含病床數),衛生局,桃園市政府,衛生局,,,67,,桃園市轄內醫院，地址，電話，病床數,
79,桃園市104年A2道路交通事故-機車傷亡者與戴用安全帽關係統計,警察局,桃園市政府,警察局,,,93,,breau(分局轄區)、p_class(駕駛人或被載人)、statu_class(有無戴用安全帽)、dead(死亡人數)、hurt(受傷人數),
80,101年桃園市交通事故資料表,警察局,桃園市政府,警察局,,,380,,年(年分)、月(月份)、日(日期)、時(小時)、分(分)、縣市(發生縣市)、區(發生區)、村里(發生村里)、鄰(發生鄰)、街道1(發生街道)、段1(發生段)、巷(發生巷)、弄(發生弄)、號(發生門牌號碼)、公尺處1(參照公尺)、街道2(發生街道)、段2(發生段)、側(發生側)、附近1(發生附近)、道路(發生道路)、公里1(發生公里)、公尺處2(發生公尺)、向（方向）、車道（車道）、平交道（平交道）、公里2（發生公里）、公尺處3（發生公尺）、附近2（發生附近）、死（死亡人數）、受傷（受傷人數）、延後死亡(延後2-30小時死亡人數)、天候(天候)、光線(光線)、道路類別(道路類別)、速限(速限)、道路型態(道路型態)、事故位置(事故位置)、路面鋪裝(路面鋪裝)、路面狀態(路面狀態)、路面缺陷(路面缺陷)、障礙物(障礙物)、視距(視距)、號誌種類(號誌種類)、號誌動作(號誌動作)、分向設施(分向設施)、快車道或一般車道間(快車道或一般車道間)、快慢車道間(快慢車道間)、路面邊線(路面邊線)、事故類型及型態(事故類型及型態)、主要肇因(主要肇因)、受傷程度(受傷程度)、主要傷處(主要傷處)、保護裝備(保護裝備)、行動電話(行動電話)、當事者區分_類別(當事者區分_類別)、車輛用途(車輛用途)、當事者行動狀態(當事者行動狀態)、駕駛資格情形(駕駛資格情形)、駕駛執照種類(駕駛執照種類)、飲酒情形(飲酒情形)、車輛撞擊部位最初(車輛撞擊部位最初)、車輛撞擊部位其他(車輛撞擊部位其他)、肇事因素個別(肇事因素個別)、肇事因素主要(肇事因素主要)、肇事逃逸(肇事逃逸)、職業(職業)、旅次目的(旅次目的)、國籍(國籍)、備註(備註)、車種(車種),
81,桃園市消防分隊駐地位置圖,消防局,桃園市政府,消防局,,,20,,單位名稱、地址、TWD97_X(大地X軸座標)、TWD97_Y(大地Y軸座標),
82,106年桃青傑出志工獎計畫,青年事務局,桃園市政府,青年事務局,,,42,,公司(公司名稱)：桃園市政府青年事務局地址(公司地址)：320桃園市中壢區環北路390號電話(公司電話)：03-4225205#6004,
83,桃園工廠排放每日監測紀錄,環境保護局,桃園市政府,環境保護局,,,994,,_id、ABBR、DP_NO、DESP、M_YEAR、M_MONTH、M_DAY、M_TIME、M_VAL、STATUS、UNIT、hashCode,
84,105年桃園市楊梅區土地公告現值及公告地價,地政局,桃園市政府,地政局,,,237,,行政區(行政區名稱)，段小段(地段名稱)，地號，公告現值(元/平方公尺)，公告地價(元/平方公尺) ,
85,商業行業別及行政區域家數,經濟發展局,桃園市政府,經濟發展局,,,1,,行政區別行業別、項目、總計家數、A農林漁牧業、B礦業及土石採取業、C製造業、D電力及燃氣供應業、E用水供應及污染整治業、F營造業、G批發及零售業、H運輸及倉儲業、I住宿及餐飲業、J資訊及通訊傳播業、K金融及保險業、L不動產業、M專業、科學及技術服務業、N支援服務業、O公共行政及國防；強制性社會安全、P教育服務業、Q醫療保健及社會服務業、R藝術、娛樂及休閒服務業、S其他服務業(家數及資本額單位：家，新臺幣元),
86,桃園市立案不動產估價師事務所清冊,地政局,桃園市政府,地政局,,,191,,核發日期、事務所名稱、姓名(事務所負責人姓名)、事務所類別(是否為獨立事務所)、開業證書字號、事務所地址、事務所電話/傳真、有效期限(證照有效日期),
87,桃園市最近5年房屋稅綜合統計表,地方稅務局,桃園市政府,地方稅務局,,,91,,"項目,戶數_合計,戶數_應稅,戶數_免稅,面積_應稅,面積_免稅,現值_應稅,現值_免稅,稅額_合計,稅額_本稅",
88,桃園市政府建築管理處職員考試統計報表,都市發展局,桃園市政府,都市發展局,,,185,,總人數	合計	小計	高考	普考	特考	其他考試	依其他法令進用人數	備註,
89,附屬單位決算作業基金平衡綜計表(依科目分列),主計處,桃園市政府,主計處,,,40,,科目1、科目2、科目3、科目4、本年度決算數_金額、本年度決算數_百分比、上年度決算數_金額、上年度決算數_百分比、比較增減_金額、比較增減_百分比,
90,桃園市政府地方稅務局106年度歲出預算表,地方稅務局,桃園市政府,地方稅務局,,,78,,"款,項,目,節,名稱及編號,本年度預算數,上年度預算數,前年度決算數,本年度與上年度比較",
91,附屬單位決算作業基金餘絀撥補綜計表(依撥補項目分列),主計處,桃園市政府,主計處,,,39,,項目1、項目2、預算數_金額、預算數_百分比、決算數_金額、決算數_百分比、比較增減_金額、比較增減_百分比,
92,桃園市各級農會通訊資料,農業局,桃園市政府,農業局,,,377,,名稱、電話、地址,
93,桃園市資料開放平台跳出率,研究發展考核委員會,桃園市政府,研究發展考核委員會,,,31,,日索引、跳出率,
94,桃園市原住民低收入戶原住民族住宅補助統計,原住民族行政局,桃園市政府,原住民族行政局,,,3,,"區別,建構住宅補助申請戶數,建構住宅補助戶數,建購住宅補助金額,修繕住宅補助申請戶數,修繕住宅補助戶數,修繕住宅補助金額,住宅租金補貼申請戶數,住宅租金補貼戶數,住宅租金補貼金額",
95,桃園市政府105年度消費爭議申訴案暨調解案類型分析,法務局,桃園市政府,法務局,,,30,,類別、項目、第一次申訴、消保官申訴、調解案件、合計,
96,楊梅三七五租約資料,地政局,桃園市政府,地政局,,,98,,"行政區,段名,地號",
97,桃園市消防裝備,消防局,桃園市政府,消防局,,,45,,消防衣帽鞋_套、空氣呼吸器_組、熱顯像儀_套、個人用救命器_個、氣體偵測器_套、破壞器材組_套、空氣壓縮機_台、移動式幫浦_台、救生艇_艘、橡皮艇_艘、潛水用裝備_套,
98,桃園市步道調查資料(含KML軌跡檔),觀光旅遊局,桃園市政府,觀光旅遊局,,,24239,,區域(13行政區)、步道系統、步道名稱、調查長度(KM)、步道分類(濱海、湖濱、溪流、水圳、森林、生態、公園、歷史、田野步道)、步道分級(親子級、勇腳級、山友級)、起點(經緯度)、訖點(經緯度)、土地權屬(公有、私有、公有/私有)、步道簡介,
99,中尖載機組發電量(萬瓩),經濟發展局,桃園市政府,經濟發展局,,,93,,能源分類電廠名稱、發電量、影響備轉容量率_百分比,
